Market,Type,Goods,Address1,Address2,Address3,Postcode,Latitude,Longitude,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Time open,Time close,Website,Email,Telephone
Brighouse,Open,General retail,Ship Street,Brighouse,,HD6 1JX,53.70095,-1.7814,No,No,Yes,No,No,Yes,No,9.00am,4.00pm,https://new.calderdale.gov.uk/communities/calderdale-markets/open-markets/brighouse,marketsd@calderdale.gov.uk,01422 393584
Brighouse,Open,Preloved,Ship Street,Brighouse,,HD6 1JX,53.70095,-1.7814,No,No,No,No,No,No,Yes,9.00am,4.00pm,https://new.calderdale.gov.uk/communities/calderdale-markets/open-markets/brighouse,marketsd@calderdale.gov.uk,01422 393584
Elland,Open,General retail,Town Hall Square,Elland,Elland,HX5 0ER,53.68441,-1.83553,No,No,No,No,Yes,No,No,9.00am,4.00pm,https://new.calderdale.gov.uk/communities/calderdale-markets/open-markets/elland,marketsd@calderdale.gov.uk,01422 393584
Halifax,Hall,General retail,Albion Street,Halifax,,HX1 1DU,53.72205,-1.85916,Yes,Yes,Yes,Yes,Yes,Yes,No,8.00am,4.30pm,https://new.calderdale.gov.uk/communities/calderdale-markets/market-halls/halifax,marketsd@calderdale.gov.uk,01422 393584
Hebden Bridge,Open,Fresh produce and general retail,Old Lees Yard,St George Square,Hebden Bridge,HX7 8AQ,53.74169,-2.01147,No,No,No,Yes,No,No,No,9.00am,4.00pm,https://new.calderdale.gov.uk/communities/calderdale-markets/open-markets/hebden-bridge,marketsd@calderdale.gov.uk,01422 393584
Hebden Bridge,Open,Second hand,Old Lees Yard,St George Square,Hebden Bridge,HX7 8AQ,53.74169,-2.01147,No,No,No,No,Yes,No,No,9.00am,4.00pm,https://new.calderdale.gov.uk/communities/calderdale-markets/open-markets/hebden-bridge,marketsd@calderdale.gov.uk,01422 393584
Hebden Bridge,Open,"Arts, crafts and artisan products",Old Lees Yard,St George Square,Hebden Bridge,HX7 8AQ,53.74169,-2.01147,No,No,No,No,No,Yes,No,9.00am,4.00pm,https://new.calderdale.gov.uk/communities/calderdale-markets/open-markets/hebden-bridge,marketsd@calderdale.gov.uk,01422 393584
Hebden Bridge,Open,Local produce and food,Old Lees Yard,St George Square,Hebden Bridge,HX7 8AQ,53.74169,-2.01147,No,No,No,No,No,No,Yes,9.00am,4.00pm,https://new.calderdale.gov.uk/communities/calderdale-markets/open-markets/hebden-bridge,marketsd@calderdale.gov.uk,01422 393584
Todmorden,Hall,General retail,Brook Street,Todmorden,,OL14 5AJ,53.71398,-2.09666,Yes,Yes (closes 12.00pm),Yes,Yes,Yes,Yes,No,9.00am,5.30pm,https://new.calderdale.gov.uk/communities/calderdale-markets/market-halls/todmorden,marketsd@calderdale.gov.uk,01706 819731
Todmorden,Open,General retail,Brook Street,Todmorden,,OL14 5AJ,53.71398,-2.09666,No,No,Yes,No,Yes,Yes,Yes,9.00am,4.00pm,https://new.calderdale.gov.uk/communities/calderdale-markets/open-markets/todmorden,marketsd@calderdale.gov.uk,01706 819731
Todmorden,Open,Second hand and craft,Brook Street,Todmorden,,OL14 5AJ,53.71398,-2.09666,No,No,No,Yes,No,No,No,9.00am,4.00pm,https://new.calderdale.gov.uk/communities/calderdale-markets/open-markets/todmorden,marketsd@calderdale.gov.uk,01706 819731
