Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1,Sex of Casualty 1,Age of Casualty 1,Type of Vehicle 2,Casualty Class 2,Casualty Severity 2,Sex of Casualty 2,Age of Casualty 2,Type of Vehicle 3,Casualty Class 3,Casualty Severity 3,Sex of Casualty 3,Age of Casualty 3,Type of Vehicle 4,Casualty Class 4,Casualty Severity 4,Sex of Casualty 4,Age of Casualty 4,Type of Vehicle 5,Casualty Class 5,Casualty Severity 5,Sex of Casualty 5,Age of Casualty 5,Type of Vehicle 6,Casualty Class 6,Casualty Severity 6,Sex of Casualty 6,Age of Casualty 6
7151256,408276,424970,2,43835,1750,Unclassified,Wet / damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Male,14,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7160423,414597,421599,1,43836,1030,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,24,,,,,,,,,,,,,,,,,,,,,,,,,
7171140,408932,426594,1,43837,1640,A,Dry,Darkness: street lights present and lit,Fine with high winds,Car,Pedestrian,Serious,Female,13,,,,,,,,,,,,,,,,,,,,,,,,,
7171206,411284,420574,1,43837,1706,B,Dry,Darkness: street lights present and lit,Fine with high winds,Car,Pedestrian,Serious,Female,66,,,,,,,,,,,,,,,,,,,,,,,,,
7180871,392922,423132,1,43838,1441,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,20,,,,,,,,,,,,,,,,,,,,,,,,,
71D0480,393178,422280,2,43843,1005,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,32,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
71D1372,410784,420867,1,43843,1735,Unclassified,Wet / damp,Darkness: street lights present and lit,Raining with high winds,Car,Pedestrian,Slight,Male,54,,,,,,,,,,,,,,,,,,,,,,,,,
71D1392,409467,425289,1,43843,1743,Unclassified,Wet / damp,Darkness: street lights present and lit,Fine with high winds,Car,Pedestrian,Serious,Female,74,,,,,,,,,,,,,,,,,,,,,,,,,
71D1428,406752,427774,2,43843,1755,Unclassified,Wet / damp,Darkness: street lights present and lit,Raining with high winds,Car,Driver or rider,Slight,Female,41,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
71I1576,409410,423329,2,43848,1943,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Female,55,Car,Vehicle or pillion passenger,Slight,Female,43,,,,,,,,,,,,,,,,,,,,
71K0212,413442,420642,2,43850,0735,A,Wet / damp,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,55,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
71M1567,408558,424439,2,43851,1925,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,32,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
71M1939,406974,429774,2,43852,2105,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,22,Car,Vehicle or pillion passenger,Slight,Female,22,,,,,,,,,,,,,,,,,,,,
71P0706,409402,424960,2,43855,1720,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,28,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
71P1368,404578,422509,2,43855,1730,A,Dry,Darkness:street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,33,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
71R0187,400369,415871,1,43857,0539,A,Wet / damp,Darkness: no street lighting,Raining with high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,19,,,,,,,,,,,,,,,,,,,,,,,,,
71R0464,409767,423898,2,43857,0915,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,55,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
71S0275,398715,414675,2,43858,0753,A,Frost / ice,Darkness: street lights present and lit,Fog or mist - if hazard,Goods vehicle 7.5 tonnes mgw and over,Driver or rider,Slight,Male,56,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
