DfE number,Establishment,Phase,Status,Head title,Head name,Address 1,Address 2,Address 3,Address 4,Postcode,School ward,Telephone,Website,Nursery,Number of pupils on roll,Census date,Eastings,Northings,Latitude,Longitude,Cluster,Trust name,Sponsor name,Federation name,UPRN
2005,Abbey Park Academy,Primary,Academy sponsor led,Headteacher,Ms Natasha Searby,Keighley Close,Illingworth,,Halifax,HX2 9DG,Illingworth and Mixenden,01422 246610,https://apa.northerneducationtrust.org/,Yes,202,45309,406954,428786,53.755409,-1.896008,North Halifax,NORTHERN EDUCATION TRUST,Northern Education Trust,,010010175254
5201,All Saints' CofE Primary School,Primary,Voluntary aided school,Headteacher,Mrs Lauren Watson,Dudwell Lane,,,Halifax,HX3 0SD,Skircoat,01422 367140,www.allsaintsschoolhalifax.co.uk,No,207,45309,409352,422704,53.700704,-1.859826,East Calderdale,,,,100052188749
2093,Ash Green Community Primary School,Primary,Community school,Headteacher,Mr Mungo Sheppard,Mixenden Road,Mixenden,,Halifax,HX2 8QD,Illingworth and Mixenden,01422 244613,http://www.ashgreen.info,Yes,477,45309,406208,428106,53.749304,-1.907342,North Halifax,,,,010033879744
2040,Bailiffe Bridge Junior and Infant School,Primary,Community school,Headteacher,Mr Craig Roberts,Victoria Road,Bailiff Bridge,,Brighouse,HD6 4DY,Hipperholme and Lightcliffe,01484 713039,www.bailiffebridgeschool.org.uk,No,191,45309,414794,425320,53.724097,-1.777279,East Calderdale,,,,010010177301
3321,Barkisland CofE VA Primary School,Primary,Voluntary aided school,Headteacher,Mrs Becky Schofield,Scammonden Road,Barkisland,,Halifax,HX4 0BD,Ryburn,01422 823324,www.barkislandcofeschool.org.uk,Yes,190,45309,405338,420015,53.676591,-1.92067,Sowerby Bridge,,,,010006736982
2019,Beech Hill School,Primary,Academy converter,Headteacher,Mrs Shameem Hussain,Mount Pleasant Avenue,,,Halifax,HX1 5TN,Park,01422 345004,www.beechhillschool.co.uk,Yes,518,45309,408690,425636,53.727065,-1.869779,North Halifax,THE FAMILY OF LEARNING TRUST,The Family of Learning Trust,,010006742170
2063,Bolton Brow Primary Academy,Primary,Academy converter,Headteacher,Mr Paul Kelesidis,Bolton Brow,,,Sowerby Bridge,HX6 2BA,Sowerby Bridge,01422 831031,http://www.boltonbrow.com,Yes,228,45309,406763,423884,53.71135,-1.899016,Sowerby Bridge,TOGETHER LEARNING TRUST,Together Learning Trust,,010010179445
2048,Bowling Green Academy,Primary,Academy converter,Headteacher,Mr Jamie Stuttard,Stainland Road,Stainland,,Halifax,HX4 9HU,Greetland and Stainland,01422 374863,http://www.bowlinggreenacademy.org.uk,No,152,45309,407670,419304,53.670172,-1.885385,Elland,GREAT HEIGHTS ACADEMY TRUST,Great Heights Academy Trust,,100052042527
2004,Bradshaw Primary School,Primary,Academy converter,Headteacher,Headteacher Julia Baker,Ingham Lane,Bradshaw,,Halifax,HX2 9PF,Illingworth and Mixenden,01422 244283,www.bradshawprimaryschool.org,No,329,45309,407617,430056,53.766812,-1.885928,North Halifax,THE FAMILY OF LEARNING TRUST,The Family of Learning Trust,,010010175246
5406,Brighouse High School,Secondary,Academy converter,Headteacher,Mr Richard Horsfield,Finkil Street,,,Brighouse,HD6 2NY,Brighouse,01484 710408,http://www.brighouse.calderdale.sch.uk,No,1308,45309,414344,422983,53.71339,-1.793756,Secondary,BRIGHOUSE HIGH SCHOOL ACADEMY TRUST,,,100051997020
2053,Burnley Road Academy,Primary,Academy converter,Headteacher,Mrs Clare Cope,Burnley Road,Mytholmroyd,,Hebden Bridge,HX7 5DE,Luddendenfoot,01422 883034,www.burnleyroadacademy.org,Yes,190,45309,401061,426205,53.732253,-1.985397,Calder Valley,BURNLEY ROAD ACADEMY,,,010010164227
2042,Carr Green Primary School,Primary,Community school,Headteacher,Mrs Emma Midgley,Carr Green Lane,Rastrick,,Brighouse,HD6 3LT,Rastrick,01484 715969,http://www.carrgreenschool.org.uk,Yes,335,45309,413825,421185,53.686953,-1.792143,East Calderdale,,,,010010186616
2068,Castle Hill Primary School,Primary,Community school,Headteacher,Mr Duncan Hetherington,Halifax Road,,,Todmorden,OL14 5SQ,Calder,01706 813163,www.castlehillprimary.co.uk,Yes,178,45309,394870,424535,53.717217,-2.079212,Todmorden,,,,010010152666
2054,Central Street Infant and Nursery School,Primary,Community school,Executive Headteacher,Ms Lucy Caswell,Central Street,,,Hebden Bridge,HX7 6HB,Calder,01422 842784,http://www.centralstreet.org.uk,Yes,79,45309,399043,427180,53.741016,-2.015989,Calder Valley,,,Hebden Bridge Schools Federation,100052044009
3323,"Christ Church CofE VA Junior School, Sowerby Bridge",Primary,Voluntary aided school,Headteacher,Miss Alison Embleton,Park Road,,Christ Church Ce (Va) Junior School,Sowerby Bridge,HX6 2BJ,Sowerby Bridge,01422 832454,http://www.christchurchjuniors.org.uk,No,93,45309,406431,424058,53.712918,-1.904042,Sowerby Bridge,,,,010010188231
3001,Christ Church Pellon CofE VC Primary School,Primary,Voluntary controlled school,Headteacher,Mrs Jo Bastian,Sandbeds Road,Pellon,,Halifax,HX2 0QQ,Warley,01422 350792,http://www.christchurch-pellon.calderdale.sch.uk,No,175,45309,406962,425931,53.729747,-1.895958,North Halifax,,,,100052039729
2076,Cliffe Hill Community Primary School,Primary,Community school,Headteacher,Ms Lindsay Lomas,Stoney Lane,Lightcliffe,,Halifax,HX3 8TW,Hipperholme and Lightcliffe,01422 202086,http://www.cliffehill.calderdale.sch.uk,Yes,176,45309,414058,424949,53.720774,-1.788446,East Calderdale,,,,010010181155
2059,Colden Junior and Infant School,Primary,Community school,Headteacher,Miss Jo Mansfield,Smithy Lane,Colden,,Hebden Bridge,HX7 7HW,Calder,01422 842438,http://www.colden.calderdale.sch.uk,No,82,45309,396193,428379,53.751778,-2.059214,Calder Valley,,,,010010174716
2006,Copley Primary School,Primary,Community school,Headteacher,Mrs Sarah Hemingway,Wakefield Road,Copley,,Halifax,HX3 0TP,Skircoat,01422 354209,https://www.copleynewroad.co.uk/,No,304,45309,408789,422589,53.69968,-1.868364,Sowerby Bridge,,,,010095603064
2069,"Cornholme Junior, Infant and Nursery School",Primary,Community school,Headteacher,Mrs Emma Dickinson,Greenfield Terrace,Cornholme,,Todmorden,OL14 8PL,Todmorden,01706 812787,https://www.cornholmeschool.co.uk,Yes,152,45309,390171,426195,53.732068,-2.150467,Todmorden,,,,100052078964
2087,Cross Lane Primary and Nursery School,Primary,Community school,Headteacher,Mr Mark Sharp,Cross Lane,,,Elland,HX5 0LP,Elland,01422 372614,www.crosslaneschool.co.uk,Yes,325,45309,410362,420330,53.679348,-1.844606,Elland,,,,100052042831
2011,Dean Field Community Primary School,Primary,Academy sponsor led,,Mrs Fiona Pether,Cousin Lane,Ovenden,,Halifax,HX2 8DQ,Ovenden,01422 258258,www.deanfieldschool.co.uk,Yes,226,45309,407135,427323,53.742255,-1.893302,North Halifax,THE FAMILY OF LEARNING TRUST,The Family of Learning Trust,,010010175178
3318,"Elland Church of England (Voluntary Aided) Junior, Infant and Nursery School",Primary,Voluntary aided school,Headteacher,Miss L Hartley,Westgate,,,Elland,HX5 0BB,Elland,01422 373159,http://www.elland.calderdale.sch.uk/,Yes,161,45309,410708,421039,53.685713,-1.839348,Elland,,,,100052042829
2003,Ferney Lee Primary School,Primary,Community school,Headteacher (Interim),Mrs Kelly Williams,Ferney Lee Road,,,Todmorden,OL14 5NR,Todmorden,01706 254848,http://www.ferneylee.calderdale.sch.uk/,Yes,218,45309,393384,424960,53.72102,-2.101739,Todmorden,,,,010006749995
2000,Field Lane Primary School,Primary,Academy sponsor led,,Mrs Caroline Howarth,Burnsall Road,Rastrick,,Brighouse,HD6 3JT,Rastrick,01484 713792,www.fieldlane.polarismat.org.uk,Yes,94,45309,413252,421506,53.689855,-1.800804,East Calderdale,POLARIS MULTI ACADEMY TRUST,Polaris Multi Academy Trust,,100052218312
3319,Hebden Royd CofE Primary School,Primary,Academy converter,Headteacher,Mr Robert Paton,Church Lane,,,Hebden Bridge,HX7 6DS,Calder,01422 842821,www.hebdenroydprimary.org.uk/,Yes,103,45309,398432,427480,53.74371,-2.025255,Calder Valley,LEARNING ACCORD MULTI ACADEMY TRUST,Learning Accord Multi Academy Trust,,010010164226
2058,Heptonstall Junior Infant and Nursery School,Primary,Academy converter,Headteacher,Mr David Perrin,Smithwell Lane,Heptonstall,,Hebden Bridge,HX7 7NX,Calder,01422 842533,http://www.heptonstallschool.org.uk/,No,50,45309,398545,428194,53.750128,-2.023545,Calder Valley,THE FAMILY OF LEARNING TRUST,The Family of Learning Trust,,010006744447
7010,Highbury School,Special primary,Community special school,Headteacher,Mrs Debbie Sweet,Lower Edge Road,Rastrick,,Brighouse,HD6 3LD,Rastrick,01484 716319,http://www.highburyschool.co.uk,No,136,45309,413338,421241,53.687469,-1.799514,Special,,,,100051997296
